You added %1 product to your shopping cart.,เพิ่ม %1 ลงในรถเข็นของคุณแล้ว
You added %1 products to your shopping cart.,เพิ่ม %1 ลงในรถเข็นของคุณแล้ว
"Yes, for Specified Customer Groups",ใช่ สำหรับลูกค้าเฉพาะกลุ่ม
"Yes, for Everyone",ใช่ สำหรับทุกคน
Wish List (%1),รายการสินค้าที่ต้องการ (%1)
What's this?,นี่คืออะไร?
We don't have as many of these as you want.,สินค้ามีจำนวนไม่พอ
We can't find this wish list.,ไม่พบรายการสินค้าที่ต้องการนี้
We can't find this store.,เราไม่สามารถหาร้านค้านี้ได้
We can't find this customer.,เราไม่สามารถหาลูกค้ารายนี้ได้
We can't add the item to your cart.,ไม่สามารถเพิ่มรายการลงในรถเข็นของคุณได้
"We can't add a product to cart by id ""%1"".","ไม่สามารถเพิ่มสินค้าในรถเข็นจากรหัสสินค้า ""%1"" ได้"
View Shopping Cart,ดูตะกร้าสินค้า
View and modify Shopping Cart,ดูและแก้ไขตะกร้าสินค้า
Upload File,อัปโหลดไฟล์
Update Items and Quantities,อัปเดตรายการและจำนวน
Total %1 product(s),รวม %1 รายการ
This product is assigned to another website.,ผลิตภัณฑ์นี้ถูกกำหนดให้กับเว็บไซต์อื่น
The wish list item is not loaded.,คำสั่งซื้อนี้ไม่มีอยู่แล้ว
The wish list item id is not received.,คำสั่งซื้อนี้มีรายการ (%1) และไม่สามารถแก้ไขได้ผ่านอินเทอร์เฟซผู้ดูแลระบบ หากคุณต้องการแก้ไขต่อรายการ (%2) จะถูกนำออกคำสั่งจะถูกยกเลิกและจะมีการวางคำสั่งซื้อใหม่
The text of the link to the My Account &gt; Order by SKU page,รีจิสตรีของขวัญนี้ไม่มีรายการใด ๆ
The SKU was not found in the catalog.,การตั้งค่านี้จะใช้เมื่อราคาทั้งหมดในช่วงราคาที่เฉพาะเจาะจงเท่ากัน
The file is empty.,นี่คือตัวเลือกที่จำเป็น
The file is corrupt.,นี่คือข้อมูลที่จำเป็น.
"The coupon code ""%1"" is not valid.",กฎนี้ไม่มีอยู่อีกต่อไป
Subtotal:,ยอดรวม:
Subtotal,ยอดรวม
Specify the product's options.,ระบุตัวเลือกของผลิตภัณฑ์
"Sorry, something went wrong. You can find out more in the error log.",ขออภัย มีบางอย่างผิดพลาด คุณสามารถหาข้อมูลเพิ่มเติมได้ในบันทึกข้อผิดพลาด
Something went wrong while reordering this product.,เกิดข้อผิดพลาดขณะจัดเรียงสินค้านี้ใหม่
SKU number,รหัสสินค้า
SKU:,รหัสสินค้า:
SKU,รหัสสินค้า
Sku,รหัสสินค้า
Shopping cart management is disabled for this customer.,การจัดการรถเข็นสินค้าถูกปิดใช้งานสำหรับลูกค้ารายนี้
Shopping Cart Management,การจัดการรถเข็น
Shopping Cart Items,รายการสินค้าในรถเข็น
Shopping Cart for %1 in %2,รถเข็น %1 ใน %2
Shopping Cart,รถเข็นสินค้า
Select products you want to buy,เลือกสินค้าที่การซื้อ
See price before order confirmation.,ดูราคาก่อนยืนยันการสั่งซื้อ
Row Subtotal,ยอดรวม
Reset,รีเซ็ต
Remove Row,ลบแถว
Remove item,ลบรายการ
Remove Coupon Code,ลบคูปอง
Remove All,ลบทั้งหมด
Remove,ลบ
Recently Viewed Products (%1),สินค้าที่ดูล่าสุด (%1)
Recently Compared Products (%1),สินค้าที่ผ่านการคัดสรรแล้ว (%1)
Quote item is not loaded.,รายการ id ของใบเสนอราคายังไม่ได้โหลด
Quote item id is not received.,รายการ id ของในเสนอราคายังไม่ได้รับ
Quantity,จำนวน
Qty,จำนวน
Products Requiring Attention,ผลิตภัณฑ์ที่ต้องให้ความสนใจ
Products in the Comparison List (%1),สินค้าที่มีการคัดสรร (%1)
Products,สินค้า
Product,สินค้า
Price,ราคา
Please upload the file in .csv format.,กรุณาอัปโหลดไฟล์ในรูปแบบ .csv
Please select,กรุณาเลือก
"Please enter an actual number in the ""Qty"" field.",กรุณากรอกตัวเลขลงในช่องจำนวน
Ordered item is not loaded.,รายการสินค้าที่สั่งซื้อยังไม่ได้โหลด
Ordered item id is not received.,รายการ id ของรายการที่สั่งซื้อยังไม่ได้รับ
Order by SKU Template,สั่งซื้อโดยเทมเพลตรหัสสินค้า
Order by SKU Settings,จัดเรียงตามตั้งค่ารหัสสินค้า
Order by SKU Description,จัดเรียงตามรายละเอียดรหัสสินค้า
Order by SKU,สั่งซื้อโดยรหัสสินค้า
"Only <span id=""%1_max_allowed"">%2</span> in stock","มีสินค้า <span id = ""%1_max_allowed"">%2 </ span> ในคลัง"
Only %1%2%3 left in stock,เหลือเพียง%1 %2 %3 เท่านั้น
No ordered items,ไม่มีรายการสั่งซื้อ
No item specified.,ไม่มีรายการที่ระบุ
No,ไม่
Move to Wish List,ใส่ในสิ่งที่คุณอยากได้
Manage Shopping Cart,จัดการตะกร้าสินค้า
Load a list of SKUs,โหลดรายการรหัสสินค้า
Link Text,ลิงก์ข้อความ
Last ordered items (%1),รายการสั่งซื้อล่าสุด (%1)
Item,ชิ้น
Incl. Tax,รวมภาษีมูลค่าเพิ่ม
ID,ID
File extensions allowed: .csv,กำหนดให้ไฟล์: .csv
File,ไฟล์
Excl. Tax,ไม่รวมภาษีมูลค่าเพิ่ม
Enable Order by SKU on My Account in Storefront,เปิดใช้งานการสั่งซื้อโดย SKU ในบัญชีของฉันในหน้าร้าน
Edit item parameters,แก้ไขพารามิเตอร์ของรายการ
Edit,แก้ไข
Display a Link to Loading a Spreadsheet,แสดงลิงก์ไปยังการโหลดสเปรดชีต
Discount,ส่วนลด
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,กำหนดว่าลิงก์ไปยังบัญชีของฉันหรือไม่ &gt; การสั่งซื้อตามหน้ารหัสสินค้าจะปรากฏในวิดเจ็ต
Customers,ลูกค้า
Customer Groups,กลุ่มลูกค้า
Create Order,สร้างรายการ
Configure,กำหนดค่า
Clear my shopping cart,ล้างรถเข็นของฉัน
Cancel,ยกเลิก
Back,ย้อนกลับ
Availability: Out of stock.,สถานะของสินค้า: หมด
Are you sure you want to remove this item?,คุณแน่ใจหรือไม่ว่าต้องการนำรายการนี้ออก
Are you sure you want to clear your cart?,คุณแน่ใจหรือไม่ว่าต้องการล้างตะกร้าของคุณ?
Apply Coupon Code,ใช้คูปอง
Apply Coupon,ใช้คูปอง
Apply,ปรับใช้
An error has occurred. See error log for details.,เกิดข้อผิดพลาด. ดูรายละเอียดในบันทึกข้อผิดพลาด
Alert me when this item is available.,แจ้งเตือนเมื่อมีรายการนี้
Add to Shopping Cart by SKU,เพิ่มในรถเข็นจากรหัสสินค้า
Add to Shopping Cart,เพิ่มในรถเข็น
Add to Order by SKU,เพิ่มในการสั่งซื้อจากรหัสสินค้า
Add to Order,เพิ่มในการสั่งซื้อ
Add to Cart,เพิ่มในตะกร้า
Add selections to my cart,เพิ่มลงในตะกร้าของฉัน
Add Row,เพิ่มแถว
Add Products to Order,เพิ่มสินค้าไปที่รายการสั่งซื้อ
Add Products By SKU,เพิ่มสินค้าจากรหัสสินค้า
Add Products,เพิ่มสินค้า
Action,การกระทำ
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","ผลิตภัณฑ์ <span> <span id = ""sku-attention-num"">%1 </ span> ต้องได้รับความสนใจ </ span>"
%1 products require your attention.,%1 ผลิตภัณฑ์ต้องการความสนใจของคุณ
%1 product requires your attention.,ผลิตภัณฑ์ %1 ต้องการความสนใจของคุณ
%1 item(s) need your attention.,%1 รายการต้องการความสนใจของคุณ
There are no product types available for export,ผู้ใช้รายนี้ไม่มีโทเค็น
Please correct the data sent.,โปรดแก้ไขข้อมูลที่ส่ง
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,รูปแบบเอนทิตี้ของต้องเป็นอินสแตนซ์ของ \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
Entity type model '%1' is not found,ไม่พบรูปแบบ '%1'
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface
Sales Rule,กฎการขาย
Index sales rule,กฎการขายดัชนี
Yes,ใช่
When you enable this option your site may slow down.,เมื่อคุณเปิดใช้งานตัวเลือกนี้เว็บไซต์ของคุณอาจทำงานช้าลง
Uses,การใช้
Suggested Term,ระยะที่แนะนำ
Successful! Test again?,ประสบความสำเร็จ ต้องการทดสอบอีกครั้งหรือไม่?
Store,ร้านค้า
Show Results Count for Each Suggestion,แสดงผลการนับสำหรับคำแนะนำแต่ละข้อเสนอ
Show Results Count for Each Recommendation,แสดงผลการนับสำหรับแต่ละคำแนะนำ
Search Suggestions Count,จำนวนคำแนะนำในการค้นหา
Search Recommendations Count,จำนวนคำแนะนำในการค้นหา
Search Query,การค้นหา
Results,ผลลัพธ์
Related Search Terms,คำค้นหาที่เกี่ยวข้อง
Related search terms,คำค้นหาที่เกี่ยวข้อง
Redirect URL,เปลี่ยนเส้นทาง
No,ไม่
Missing search engine parameter.,พารามิเตอร์เครื่องมือค้นหาหายไป
ID,ID
Enable Search Suggestions,เปิดใช้งานคำแนะนำการค้นหา
Enable Search Recommendations,เปิดใช้งานคำแนะนำการค้นหา
Edit,แก้ไข
Did you mean,คุณหมายถึง
Connection failed! Test again?,การเชื่อมต่อล้มเหลวอีกครั้งหรือไม่?
button_label,button_label
Add New Search Term,เพิ่มคำค้นหาใหม่
Action,การกระทำ
"RPC call failed, connection timed out after %time_out.",การโทร RPC ล้มเหลวการเชื่อมต่อหมดเวลาหลังจาก% time_out
Message has been rejected: %1,ข้อความถูกปฏิเสธ: %1
Error while checking if topic is synchronous,เกิดข้อผิดพลาดขณะตรวจสอบว่าหัวข้อเป็นแบบซิงโครนัส
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,URL พื้นฐานของคุณมีการเปลี่ยนแปลงและมีการอัปเดตรายงานของคุณ การรายงานขั้นสูงจะพร้อมใช้งานเมื่อได้รับการประมวลผลแล้ว กรุณาลองใหม่อีกครั้งในภายหลัง.
View details,ดูรายละเอียด
Time value has an unsupported format,รูปแบบของเวลาไม่ถูกด้อง
Time of day to send data,ช่วงเวลาในการส่งข้อมูล
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.","</b> สำหรับข้อมูลเพิ่มเติมโปรดดูที่ <a href = https://magento.com/legal/terms/privacy"">ข้อกำหนดในการให้บริการ</a>"
"These arguments can't be empty ""%1""",กฎนี้ไม่มีอยู่อีกต่อไป
There was an error save new configuration value.,ผลิตภัณฑ์นี้หมดสต๊อก
TestMessage,ข้อความทดสอบ
Technology B2B,เทคโนโลยี B2B
Subscription status,สถานะการสมัครสมาชิก
"Source ""%1"" is not exist","ไม่มี ""%1"" ของแหล่งข้อมูล"
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.",ขออภัยมีข้อผิดพลาดในการลงทะเบียนไปยัง Magento Analytics กรุณาลองใหม่อีกครั้งในภายหลัง.
"Sorry, there has been an error processing your request. Please try again later.",ขออภัยเกิดข้อผิดพลาดในการประมวลผล กรุณาลองใหม่อีกครั้งในภายหลัง.
powered by Magento Business Intelligence,ขับเคลื่อนโดย Magento Business Intelligence
Please select a vertical.,โปรดเลือกแนวตั้ง
--Please Select--,-- กรุณาเลือก --
Pharma and Medical Devices,ยาและอุปกรณ์ทางการแพทย์
Pet Goods,สินค้าสำหรับสัตว์เลี้ยง
Outdoor and Camping Gear,กลางแจ้งและตั้งแคมป์
Opt out,เลือกออก
Office Supplies,เครื่องใช้สำนักงาน
Not valid cipher method.,วิธีการเข้ารหัสไม่ถูกต้อง
Mass Merchant,ผู้ค้ารายใหญ่
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence ช่วยให้คุณมีเส้นทางที่ง่ายและชัดเจนในการขับเคลื่อนข้อมูลมากขึ้น </b> เรียนรู้เพิ่มเติมเกี่ยวกับ <a target = ""_ blank"" href = ""https://dashboard.rjmetrics.com/v2/magento /signup ""> สิ่งที่จำเป็นสำหรับ BI </a>"
Jewelry and Watches,เครื่องประดับและนาฬิกา
Input data must be string or convertible into string.,ข้อมูลต้องเป็นตัวอักษรเท่านั้น
Input data must be non-empty string.,ข้อมูลต้องเป็นตัวอักษรว่างเปล่าเท่านั้น
"In order to personalize your Advanced Reporting experience, please select your industry.",ในการปรับเปลี่ยนประสบการณ์การรายงานขั้นสูงในแบบของคุณโปรดเลือกอุตสาหกรรมของคุณ
Industry,อุตสาหกรรม
Home Improvement,การปรับปรุงบ้าน
Home Goods and Furniture,บ้านสินค้าและเฟอร์นิเจอร์
Go to Advanced Reporting,ไปที่การรายงานขั้นสูง
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.",รับข้อมูลเชิงลึกใหม่ ๆ และใช้คำสั่งประสิทธิภาพของธุรกิจของคุณโดยใช้ผลิตภัณฑ์แบบไดนามิกคำสั่งซื้อและรายงานจากลูกค้าที่ปรับแต่งให้เหมาะกับข้อมูลลูกค้าของคุณ
"Food, Beverage and Grocery",อาหารเครื่องดื่มและของชำ
File is not ready yet.,ไฟล์ยังไม่พร้อม
Fashion Apparel and Accessories,เสื้อผ้าแฟชั่นและอุปกรณ์เสริม
Failed to synchronize data to the Magento Business Intelligence service.,ไม่สามารถซิงโครไนซ์ข้อมูลกับบริการข่าวกรองธุรกิจอัจฉริยะได้
Error occurred during postponement notification,เกิดข้อผิดพลาดระหว่างการแจ้งเลื่อน
Error message,ข้อความผิดพลาด
Encryption key can't be empty.,การเข้ารหัสไม่สามารถว่างเปล่าได้
Deal Site,ไซต์ดีล
Cron settings can't be saved,ไม่สามารถบันทึกการตั้งค่า Cron ได้
Crafts and Stationery,งานฝีมือและอุปกรณ์การเขียน
Consumer Electronics,อุปกรณ์อิเล็กทรอนิกส์
Configuration,องค์ประกอบ
Command was not found.,ไม่พบคำสั่ง
Cannot find predefined integration user!,ไม่พบผู้ใช้การผสานรวมที่กำหนดไว้ล่วงหน้า
Cancel,ยกเลิก
Business Intelligence,ระบบธุรกิจอัจฉริยะ
"Books, Music and Magazines",หนังสือเพลงและนิตยสาร
BI Essentials,BI Essentials
Beauty and Cosmetics,ความงามและเครื่องสำอาง
"Baby/Childrenโ€s Apparel, Gear and Toys",เสื้อผ้าเด็ก/ทารก และของเล่น
Auto Parts,อะไหล่รถยนต์
Athletic/Sporting Goods,สินค้ากีฬา/สินค้ากีฬา
Art and Design,ศิลปะและการออกแบบ
Are you sure you want to opt out?,คุณแน่ใจหรือไม่ว่าต้องการเลือกไม่ใช้
Apps and Games,แอปและเกม
API,API
An error occurred while subscription process.,เกิดข้อผิดพลาดขณะสมัครสมาชิก
Analytics Subscription,การวิเคราะห์การสมัครสมาชิก
Analytics,วิเคราะห์
Advanced Reporting Service,บริการรายงานขั้นสูง
Advanced Reporting,การรายงานขั้นสูง
<strong>Get more insights from Magento Business Intelligence</strong>,<strong> ดูข้อมูลเชิงลึกเพิ่มเติมจาก Magento Business Intelligence </strong>
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p> การรายงานขั้นสูงในรูปแบบรวมฟรีในซอฟต์แวร์วีโอไอพีของคุณ เมื่อคุณเลือกไม่ใช้เราจะไม่รวบรวมผลิตภัณฑ์คำสั่งซื้อ และข้อมูลลูกค้าเพื่อสร้างรายงานแบบไดนามิกของเรา </ p>
<p> เลือกใช้ภายหลัง: คุณสามารถเปิดใช้งาน Advanced ได้ทุกเมื่อการรายงานในแผงการดูแลระบบของคุณ </ p>"
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">เชื่อมต่อใหม่อีกครั้ง</a>"
View Details,ดูรายละเอียด
"To retry, select the items and click โ€Retryโ€.","ลองอีกครั้ง, เลือกรายการและคลิกลองอีกครั้ง"
"Task ""%1"":","งาน ""%1"":"
Summary,สรุป
Status,สถานะ
Start Time,เวลาเริ่มต้น
Something went wrong.,เกิดข้อผิดพลาดบางอย่าง
Retry,ลองใหม่อีกครั้ง
"Pending, in queue...",กำลังรออยู่ในคิว ...
Number of Records Affected,จำนวนรายการที่ได้รับผลกระทบ
Meta Information,ข้อมูล Meta
Items to Retry,รายการที่จะลองใหม่
Items That Canโ€t Be Updated.,รายการที่ไม่สามารถอัปเดตได้
ID,ID
Error,ข้อผิดพลาด
Done,เสร็จสิ้น
Dismiss All Completed Tasks,ยกเลิกงานที่เสร็จสมบูรณ์ทั้งหมด
Dismiss,ยกเลิก
Details,รายละเอียด
Description of Operation,คำอธิบายการดำเนินงาน
Days Saved in Log,วันที่บันทึกไว้ในบันทึก
Bulk Actions Log,บันทึกการกระทำเป็นกลุ่ม
Bulk Actions,การดำเนินการเป็นกลุ่ม
Back,ย้อนกลับ
Action Log,บันทึกการทำงาน
Action Details - #' .,รายละเอียดการดำเนินการ - # '
Action Details - #,รายละเอียดการดำเนินการ - #
%1 items selected for mass update,%1 รายการที่เลือกสำหรับการอัพเดตเป็นกลุ่ม
%1 item(s) have been successfully updated.,%1 รายการได้รับการปรับปรุงเรียบร้อยแล้ว
"%1 item(s) have been scheduled for update.""",%1 รายการได้รับการกำหนดเวลาสำหรับการอัปเดตแล้ว
%1 item(s) have been scheduled for update.,%1 รายการได้รับการกำหนดเวลาสำหรับการอัปเดตแล้ว
%1 item(s) failed to update,%1 รายการไม่สามารถอัปเดตได้
%1 item(s) are currently being updated.,%1 รายการกำลังอัปเดตอยู่
", %1 successfully updated",", %1 อัปเดทแล้ว"
", %1 failed to update",", %1 ไม่สามารถอัปเดตได้"
We can't find the role for the user you wanted.,เราไม่พบบทบาทสำหรับผู้ใช้ที่คุณต้องการ
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,เกิดข้อผิดพลาดขณะรายชื่อคุณสามารถดูข้อมูลเพิ่มเติมได้ในบันทึก
You created the order.,คุณสร้างคำสั่งซื้อแล้ว
We can't process your order right now. Please try again later.,เราไม่สามารถดำเนินการคำสั่งซื้อของคุณได้ในขณะนี้ กรุณาลองใหม่อีกครั้งในภายหลัง
void,ว่างเปล่า
Unable to get transaction details. Try again later.,ไม่สามารถรับรายละเอียดธุรกรรม ลองอีกครั้งในภายหลัง
Transaction Key,คีย์ธุรกรรม
Transaction Details URL,URL รายละเอียดธุรกรรม
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","ธุรกรรม %1 ถูกยกเลิก / ปฏิเสธ สถานะของธุรกรรมคือ ""%2"" จำนวนเงิน %3"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","ธุรกรรม %1 ได้รับอนุมัติแล้ว จำนวนเงิน %2 สถานะของธุรกรรมคือ ""%3"""
Title,หัวข้อ
This payment didn't work out because we can't find this order.,การชำระเงินนี้ไม่สามารถทำได้เนื่องจากเราไม่สามารถหาคำสั่งซื้อนี้ได้
The transaction was declined because the response hash validation failed.,คำเชิญนี้ไม่ถูกต้อง
There was a payment authorization error.,ผลิตภัณฑ์นี้ไม่มีราคาเท่าไร
Test Mode,โหมดการทดสอบ
successful.,ประสบความสำเร็จ
Sort Order,เรียงลำดับ
"Sorry, but something went wrong. Please contact the seller.",โปรดติดต่อผู้ขาย
Something went wrong in the payment gateway.,เกิดข้อผิดพลาดในช่องทางการชำระเงิน
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,เกิดข้อผิดพลาด: จำนวนเงินที่ชำระไม่ตรงกับจำนวนเงินที่สั่งซื้อ โปรดแก้ไขปัญหานี้และลองอีกครั้ง
refund,ชำระคืน
Please Select,โปรดเลือก
Please enter a transaction ID to authorize this payment.,โปรดป้อนรหัสธุรกรรมเพื่ออนุญาตการชำระเงินนี้
Please choose a payment method.,โปรดเลือกวิธีการชำระเงิน
Place Order,สถานที่การสั่งซื้อ
Payment voiding error.,การชำระเงินเป็นโมฆะข้อผิดพลาด
Payment refunding error.,ข้อผิดพลาดการคืนเงิน
Payment from Specific Countries,การชำระเงินจากเฉพาะประเทศ
Payment from Applicable Countries,การชำระเงินจากประเทศที่สามารถใช้งานได้
Payment capturing error.,ข้อผิดพลาดในการจับภาพการชำระเงิน
Payment Action,การดำเนินการชำระเงิน
Order saving error: %1,เกิดข้อผิดพลาดในการสั่งซื้อการสั่งซื้อ: %1
New Order Status,สถานะการสั่งซื้อใหม่
Minimum Order Total,ยอดสั่งซื้อขั้นต่ำ
Merchant MD5,Merchant MD5
Merchant's Email,อีเมล์ของผู้ขาย
Maximum Order Total,ยอดสั่งซื้อสูงสุด
Invalid transaction ID.,รหัสธุรกรรมไม่ถูกต้อง
Invalid amount for refund.,จำนวนเงินที่ไม่ถูกต้องสำหรับการคืนเงิน
Invalid amount for capture.,จำนวนที่ไม่ถูกต้องสำหรับการจับภาพ
Gateway URL,URL เกตเวย์
Gateway error: %1,เกตเวย์ผิดพลาด: %1
